2017-12-20	v2.4.0-rc.1
2017-12-15	v1.11.2
2017-12-07	v2.3.1
2017-12-05	v2.3.0
2017-12-05	v1.11.1
2017-10-18	v1.11.0
2017-10-18	v2.2.0
2017-09-28	v1.10.1
2017-09-28	v2.1.1
2017-09-19	v2.1.0
2017-09-19	v1.10.0
2017-07-20	v1.9.3
2017-07-15	v2.0.2
2017-06-15	v1.9.2
2017-05-25	v2.0.1
2017-05-15	v2.0.0
2017-05-13	v2.0.0-rc.9
2017-05-12	v2.0.0-rc.8
2017-05-12	v2.0.0-rc.7
2017-05-12	v2.0.0-rc.6
2017-04-17	v1.9.1
2017-04-17	v2.0.0-rc.5
2017-04-14	v1.9.0
2017-04-14	v2.0.0-rc.4
2017-03-15	v2.0.0-rc.3
2017-03-07	v2.0.0-rc.2
2017-03-04	v2.0.0-rc.1
2017-02-27	v1.8.1
2017-02-07	v1.8.0
2016-12-14	v1.7.1
2016-09-28	v1.7.0
2016-08-01	v1.6.1
2016-06-29	v1.6.0
2016-05-31	v1.5.0
2016-03-18	v1.4.0
2016-03-02	v1.3.1
2016-02-22	v1.3.0
2016-01-27	v1.2.4
2015-11-17	v1.2.3
2015-11-17	v1.2.2
2015-10-29	v1.2.1
2015-10-23	v1.2.0
2015-10-08	v1.1.5
2015-10-08	v1.1.4
2015-10-08	v1.1.3
2015-08-28	v1.1.2
2015-08-20	v1.0.7
2015-08-20	v1.0.8
2015-08-20	v1.0.9
2015-08-20	v1.1.1
2015-08-17	v1.1.0
2015-07-09	v1.0.6
2015-06-26	v1.0.5
2015-06-02	v1.0.2
2015-06-02	v1.0.1
2015-06-02	v1.0.0
2015-05-17	v0.9.0
2015-02-23	0.5.5
2015-01-24	0.5.4
2015-01-21	0.5.3
2014-12-15	0.5.2
2014-11-12	0.5.1
2014-11-11	0.5.0
2014-10-07	0.4.2
2014-09-19	0.4.1
2014-08-28	0.4.0
2014-08-08	0.3.5
2014-07-11	0.3.4
2014-06-20	0.3.3
2014-06-09	0.3.2
2014-05-30	0.3.1
2014-05-28	0.3.0
2014-05-12	0.2.4
2014-04-18	0.2.3
2014-04-01	0.2.2
2014-03-07	0.2.1
2014-02-15	0.2.0
2014-01-27	0.1.4
2014-01-17	0.1.3
2014-01-10	0.1.2
2013-12-12	0.1.1
2013-11-27	0.1.0
2013-11-07	v0.0.20131107
2013-10-25	v0.0.20131025
2013-10-10	v0.0.20131010
2013-10-04	v0.0.20131003
2013-09-13	v0.0.20130912
2013-09-05	v0.0.20130905
2013-08-30	v0.0.20130829
2013-08-22	v0.0.20130816
2013-08-15	v0.0.20130815
2013-08-08	v0.0.20130808
2013-08-01	v0.0.20130801
2013-07-11	v0.0.20130711
