2018-01-05	v6.6.2
2018-01-04	v6.6.1
2017-12-15	v6.6.0
2017-12-14	v6.5.2
2017-12-04	v6.5.1
2017-11-17	v6.5.0
2017-11-01	v6.4.0
2017-10-10	v6.3.3
2017-10-04	v6.3.2
2017-10-03	v6.3.1
2017-10-03	v6.3.0
2017-10-02	v5.20.4
2017-09-01	v6.2.8
2017-08-24	v6.2.7
2017-08-16	v5.20.3
2017-08-16	v6.2.6
2017-07-26	v5.20.2
2017-07-26	v6.2.5
2017-07-14	v6.2.3
2017-07-14	v6.2.4
2017-07-14	v6.2.2
2017-06-28	v6.2.1
2017-05-30	v6.2.0
2017-05-15	v6.1.0
2017-05-15	v5.20.1
2017-05-11	v5.20.0
2017-04-13	v5.19.2
2017-04-13	v6.0.1
2017-04-03	v6.0.0
2017-03-27	v5.19.1
2017-03-15	v5.19.0
2017-03-08	v5.18.4
2017-03-06	v5.18.3
2017-03-03	v5.18.2
2017-03-03	v5.18.1
2017-02-27	v5.18.0
2017-02-07	v5.17.0
2017-01-12	v5.16.0
2016-12-23	v5.15.1
2016-12-22	v5.15.0
2016-12-05	v5.14.1
2016-12-02	v5.14.0
2016-11-14	v5.13.2
2016-11-09	v5.13.1
2016-10-25	v5.12.6
2016-10-25	v5.11.9
2016-10-19	v5.12.5
2016-10-18	v5.12.4
2016-10-17	v5.11.8
2016-10-06	v5.12.3
2016-09-28	v5.12.2
2016-09-28	v5.11.7
2016-08-25	v5.12.1
2016-08-25	v5.11.6
2016-08-25	v5.12.0
2016-08-25	v5.11.5
2016-08-16	v5.11.4
2016-08-15	v5.11.3
2016-08-09	v5.11.2
2016-08-08	v5.11.1
2016-08-08	v5.10.8
2016-07-22	v5.11.0
2016-06-28	v5.10.7
2016-06-20	v5.10.6
2016-06-07	v5.10.5
2016-05-31	v5.10.4
2016-05-27	v5.10.3
2016-05-12	v5.10.2
2016-05-03	v5.10.1
2016-04-19	v5.9.2
2016-04-19	v5.9.1
2016-04-05	v5.9.0
2016-04-04	v5.8.8
2016-03-29	v5.8.7
2016-03-25	v5.8.6
2016-03-17	v5.8.5
2016-03-17	v5.8.4
2016-03-10	v5.8.3
2016-03-09	v5.8.2
2016-03-07	v5.8.1
2016-02-19	v5.8.0
2016-02-11	v5.7.1
2016-02-04	v5.7.0
2016-01-26	v5.6.0
2016-01-15	v5.5.3
2016-01-14	v5.5.2
2016-01-09	v5.5.1
2016-01-08	v5.5.0
2015-12-22	v5.4.6
2015-12-15	v5.4.5
2015-12-09	v5.4.4
2015-12-09	v5.4.3
2015-12-09	v5.4.2
2015-12-08	v5.4.1
2015-12-08	v5.4.0
2015-11-25	v5.3.0
2015-11-25	v5.2.4
2015-11-24	v5.2.3
2015-11-23	v5.2.2
2015-11-16	v5.2.1
